user_id,filtered_count,reference_count,difference,percent_change
03859cca-4034-4cd4-90ff-b247e8e59285,195,206,-11,-5.339805825242718
03aac704-d7f6-4128-b5e3-7e7b128fa61a,147,147,0,0.0
03b792f9-b7e2-4e9c-b2aa-723236ce49b0,83,84,-1,-1.1904761904761905
03b995d5-5b3e-4b1b-ae56-ef33c740f30b,27,27,0,0.0
03c10a9f-97ae-472b-9fa1-4dc3e861a8f5,34,37,-3,-8.108108108108109
03dde526-2eb9-4827-aa11-695ac2aa981c,119,120,-1,-0.8333333333333334
03de147f-5e59-49b5-864b-da235f1dab54,118,119,-1,-0.8403361344537815
03eb4440-e5c2-4195-9454-fb87191a4b48,24,24,0,0.0
040a2292-227f-47d4-9b8c-49555ae147c1,34,34,0,0.0
0419b5a3-4974-4676-81db-889276d2a724,41,41,0,0.0
043e6247-891c-4e45-be86-b8f8bee4a038,20,21,-1,-4.761904761904762
0463d66a-89f9-4fec-9e20-c1a152d37a9d,105,106,-1,-0.9433962264150944
04697b7d-7330-4184-a3c4-072c3a431c6f,75,75,0,0.0
046f744d-1c39-49d3-a58d-17f6057381b9,143,143,0,0.0
04791732-53ac-456c-a381-36157c49f784,43,43,0,0.0
0482144e-2494-4143-88e9-9710a2288d57,119,119,0,0.0
049b342c-0cd0-4a30-bccf-3956da73a93f,27,27,0,0.0
04a1d218-a63a-404a-beaa-e6e20d88c9a8,22,22,0,0.0
04b14730-7af2-4721-9886-1f4d3c9542e2,84,84,0,0.0
04bf6614-53b2-44ed-b5b8-ef28bf25b295,22,22,0,0.0
04db9e04-88b5-4395-850e-e7fc37884314,28,28,0,0.0
04fb0c8e-27e7-4d6d-bda9-4b2803006d3a,131,139,-8,-5.755395683453238
04fc553e-a920-41a9-a85a-91be5c3ab212,174,174,0,0.0
04fedd56-38a8-44cb-b277-0ef9572d8462,39,39,0,0.0
05055551-f608-406e-9ade-405f5fdf3ee5,32,32,0,0.0
05183c3a-3c6a-4d4f-bb88-92f9396394cf,273,273,0,0.0
053371ad-bf54-4fa7-ab10-0e8c8cc5a222,43,43,0,0.0
0535471d-070b-445d-a4b2-6b09d6de0255,102,102,0,0.0
053f0460-b1a2-4729-bf0d-03d27be220f2,76,76,0,0.0
055b0c48-d5b4-44cb-8772-48154999e6c3,347,354,-7,-1.977401129943503
056a5897-6c54-4b64-9a38-1bfca819da84,26,26,0,0.0
057526ae-986e-42de-98c9-30a6973fee24,106,106,0,0.0
05877be3-b412-4b0d-9bf0-92d10ce9630a,99,99,0,0.0
05959d92-1732-4a43-933d-cfcb69fb4597,22,22,0,0.0
0596a566-6d80-453a-801d-6b1070df89f5,44,44,0,0.0
05a2407e-5aac-42ff-9092-992a0469958d,29,29,0,0.0
05a54527-6247-4e75-8729-76725ce32838,37,38,-1,-2.631578947368421
05a9304d-ed81-4714-874d-4a8d89f85a2e,121,121,0,0.0
05aa8f10-176a-4d95-8340-3ef1798cb6db,145,145,0,0.0
05e08514-acf6-4bd9-b4f6-e20eb33be0b1,22,22,0,0.0
05eca6f1-d963-4e7d-86dc-5654bf06c162,112,122,-10,-8.19672131147541
05f40a1e-04f3-4cd0-b7a5-a62d19ac605b,144,144,0,0.0
06038c64-395b-47f5-9593-0b7f9578cb93,130,130,0,0.0
0604b3ea-30e2-4558-a974-2e8c6862071e,54,57,-3,-5.263157894736842
06098c4d-bec8-4c4e-9cb9-591bed2c9672,60,64,-4,-6.25
060e6561-f6e7-4b83-acff-34122daabd0f,61,61,0,0.0
061cab78-a8e2-4468-a88b-4eebb7328371,61,61,0,0.0
062d797d-8425-43f4-a732-81e10392925e,76,76,0,0.0
06332c9d-7221-4601-b695-778804eaf067,29,32,-3,-9.375
06496cbe-7a30-485a-a703-3dc5b5fe75d8,20,20,0,0.0
065ccbc2-2f78-49c6-a584-d6a3008b94f6,72,72,0,0.0
0661641c-f8cb-468a-a37f-c32351e07a75,96,99,-3,-3.0303030303030303
06694177-c0ec-4ac6-85e3-3e103b7a6d9a,23,23,0,0.0
0672d24a-1e24-402a-bb42-5b8d9225b365,331,331,0,0.0
0675ed39-53be-480b-baa6-fa53fc33709f,42,114,-72,-63.1578947368421
067989c6-cd78-41ac-af73-436a4979cc22,74,76,-2,-2.631578947368421
068fe832-a5ac-4430-bd08-17ec2c2acf49,36,36,0,0.0
06933e01-88b1-450b-a92d-66fc1f4928db,103,103,0,0.0
